M,N,K,0,0,0,T  ## MxNxK = MNK
2048,25600,25600,1,1,1,3  ## 2048x25600x25600 = 2^27x10^4  ##sh2 * 3
2048,2048,160,1,1,1,3  ## 2048x2048x160 = 2^26x10^1    ##
2048,160,2048,1,1,1,3  ## 2048x160x2048 = 2^26x10^1
2048,102400,25600,1,1,1,3  ## 2048x102400x25600 = 2^29x10^4
2048,25600,102400,1,1,1,3  ## 2048x25600x102400 = 2^29x10^4
2048,102400,25600,1,1,1,3  ## 2048x102400x25600 = 2^29x10^4
25600,102400,2048,1,1,1,3  ## 25600x102400x2048 = 2^29x10^4
2048,25600,102400,1,1,1,3  ## 2048x25600x102400 = 2^29x10^4
2048,25600,2048,1,1,1,3  ## 2048x25600x2048 = 2^30x10^2
2048,160,2048,1,1,1,3  ## 2048x160x2048 = 2^26x10^1
25600,25600,2048,1,1,1,3  ## 25600x25600x2048 = 2^27x10^4
2048,25600,25600,1,1,1,3  ## 2048x25600x25600 = 2^27x10^4
